Square,Hashtag,Headline,TwitterHandle,URL
TBD,#ias01,,,http://gph.is/1izcXJw
TBD,#ias02,,,http://gph.is/1izcXJw
TBD,#ias03,,,http://gph.is/1h1fxrQ
TBD,#ias04,,,http://gph.is/1ggH0T6
TBD,#ias05,,,http://gph.is/1fGJC1U
TBD,#ias06,,,http://s3-ec.buzzfed.com/static/2014-11/21/9/enhanced/webdr03/anigif_enhanced-4986-1416581739-7.gif
TBD,#ias07,,,http://gph.is/19DC64k
TBD,#ias08,,,http://gph.is/1m2rgWd
TBD,#ias09,,,http://gph.is/18eA50n
TBD,#ias10,,,http://gph.is/XJGBV3
TBD,#ias12,,,http://gph.is/1c3ZnYl
TBD,#ias13,,,http://gph.is/1yAUHX7
TBD,#ias14,,,http://gph.is/1vhZJGv
Jared Spool being Jared Spool,#jared,,,http://gph.is/1oSZpKL
RWD quote/tweet,#RWD,,,http://gph.is/HPkbvk
mobile first quote/tweet,#mobilefirst,,,http://gph.is/YZhs4z
Best talk,#besttalk,,,http://gph.is/1pGH7vg
Overstuffed power strip,#power,,,http://gph.is/1nMJmm4
PC spotted amidst the macs,#lonely,,,http://gph.is/1jAIZDZ
Someone mentioning @iasBingo,#bingo,,,http://gph.is/YZ8Cnu
Someone dissing @iasBingo,#hater,,,http://gph.is/VwIXUM
Someone using the command line,#hacker,,,http://gph.is/SSBx0t
Wireframe!,#wireframe,,,http://gph.is/12G9PoA
Last person at the hotel bar,#zzzzz,,,http://gph.is/11I2eB8
Richard Saul Wurman,#banana,,,http://gph.is/18YVoBE
"""hashtag ___"" said outloud",#DB,,,http://gph.is/19LNrQz
fashion statement,#fashion,,,http://gph.is/NdOQpJ
Group selfie,#selvies,,,http://gph.is/19O2GBS
Your favorite person at the summit,#lurb,,,http://gph.is/XJKLMK
Having to sit on the floor,#floor,,,http://gph.is/Vxl13O
Person who needs to be hired,#hirethem,,,http://gph.is/1oQN389
What's the wifi password,#wifi,,,http://gph.is/1btyPqx
Free swag,#swag,,,http://gph.is/1syLf1O
Job listings board,#board,,,http://gph.is/19Sm3k8
Polar bear,#polarbear,,,https://31.media.tumblr.com/b30f0b1aec31a1d9d6adbb7393b4d12a/tumblr_mgucxh7kKI1qf1116o1_400.gif
IA Summit first timer,#welcome,,,http://gph.is/1uiYSsi
Someone's fifth or more Summit,#veteran,,,http://gph.is/1kvsUEk
Game night!,#gamenight,,,http://gph.is/17Vc74X
I have no idea what I'm doing,#derp,,,http://gph.is/16lY3Ww
Children at the Summit,#kids,,,http://gph.is/1fRRflV
